CZUM,ZUM,Churchill Falls Airport,53.562778,-64.109169,134
CZWH,XLB,Lac Brochet Airport,58.610001,-101.459999,134
CZWL,ZWL,Wollaston Lake Airport,58.106743,-103.168297,123
DAAE,BJA,Bejaia Soummam Airport,36.71199,5.069922,1292
DAAG,ALG,Algiers Houari Boumediene Airport,36.69101,3.215408,46214
DAAJ,DJG,Djanet Inedbirene Airport,24.292761,9.452444,80
DAAP,VVZ,Illizi Takhamalt Airport,26.72353,8.622653,80
DAAS,QSF,Setif Ain Arnat Airport,36.17812,5.324494,817
DAAT,TMR,Tamanrasset Aguenar Airport,22.81146,5.451075,200
DAAV,GJL,Jijel Ferhat Abbas Airport,36.795132,5.873608,102
DABB,AAE,Annaba Rabah Bitat Airport,36.82222,7.809167,476
DABC,CZL,Constantine Mohamed Boudiaf International Airport,36.27602,6.620386,2530
DABT,BLJ,Batna International Airport,35.759167,6.3225,132
DAOF,TIN,Tindouf Airport,27.700371,-8.1671,77
DAOI,CFK,Chlef International Airport,36.212223,1.331667,438
DAON,TLM,Tlemcen Zenata Airport,35.016659,-1.45,2817
DAOO,ORN,Oran Es Senia Airport,35.623852,-0.62118,20046
DAUA,AZR,Adrar Airport,27.83758,-0.18641,209
DAUB,BSK,Biskra Airport,34.793282,5.738231,61
DAUG,GHA,Ghardaia Noumerate Airport,32.384102,3.794114,191
DAUH,HME,Hassi Messaoud Oued Irara Airport,31.67297,6.140444,276
DAUL,LOO,Laghouat Airport,33.764381,2.928344,10
DAUO,ELU,El Oued Guemar Airport,33.511391,6.776794,97
DAUU,OGX,Ouargla Ain Beida Airport,31.917219,5.412778,411
DBBB,COO,Cotonou Cadjehoun Airport,6.357228,2.384353,8263
DFFD,OUA,Ouagadougou Airport,12.35319,-1.51241,6615
DGAA,ACC,Accra Kotoka International Airport,5.605186,-0.16678,26666
DGLE,TML,Tamale Airport,9.557192,-0.86321,62
DGTK,TKD,Takoradi Airport,4.896056,-1.77475,104
DIAP,ABJ,Abidjan Port Bouet Airport,5.261386,-3.92629,30218
DIBK,BYK,Bouake Airport,7.7388,-5.07366,30
DIKO,HGO,Korhogo Airport,9.387183,-5.55666,60
DISP,SPY,San Pedro Airport,4.746717,-6.66081,35
DNAA,ABV,Abuja Nnamdi Azikiwe International Airport,9.006792,7.263172,38733
DNAI,QUO,Uyo Akwa Ibom Airport,4.876463,8.085693,63
DNAS,ABB,Asaba International Airport,6.203055,6.667222,50
DNBE,BNI,Benin Airport,6.316981,5.599503,622
DNCA,CBQ,Calabar Margaret Ekpo International Airport,4.976019,8.347196,43
DNEN,ENU,Enugu Akanu Ibiam International Airport,6.474272,7.561961,101
